ID,POS,Name,TM,ORG,LG,Lev,DOB,Age,HT,WT,B,T,Nat. Pop.,Loc. Pop.,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,INJ,INJ,Left,Schl,CommSch,COMP,HSC,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,HT P,CON P,GAP P,POW P,EYE P,K P,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,STU P,MOV P,CON P,PBABIP P,HRR P,FB,FBP,CH,CHP,CBP,SL,SLP,SI,SIP,SP,SPP,CT,CTP,FO,FOP,CC,CCP,SC,SCP,KC,KCP,KN,KNP,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,SLR,YL,CV,TY,ECV,ETY,MLY,MLD,SECY,SECD,PROY,OPT,OY,ON40,IC,WAIV,DFA,DEM,DEM,Sign,R5,FAT,ROOK,ACT,Sct,SctAcc,Risk,SctCat,TXN,TXNDT,DrLg,DrTm,Draft,Round,Pick,OA Pick,Disc,DiscTm,Relation,Interest
73317,SP,Caleb Abbey,-,-,-,-,12/12/2025,16,6' 2',180 lbs,L,L,Unkn.,Unkn.,20,65,N,N,N,N,N,H,Unknown,Normal,-,-,-,Hunter,-,Average,HS Junior,20,25,20,20,25,20,25,20,20,20,25,20,25,20,20,20,25,20,45,40,25,30,45,30,65,20,Groundball,Normal,Normal,20,30,25,40,25,20,30,25,40,25,20,30,25,45,25,50,60,60,45,65,35,50,20,65,35,-,-,-,-,25,55,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,89-91,90-92,OTT,Normal,75,55,20,20,20,35,30,45,20,50,40,45,50,-,-,-,-,-,-,-,-,50,-,40,-,-,-,50,25,40,20,20,20,25,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Jul. 21st   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
73232,C,Josh Adams,-,-,-,-,03/31/2025,17,6' 4',195 lbs,R,R,Unkn.,Unkn.,20,55,N,N,N,N,N,H,Unknown,Normal,-,-,-,Poinciana,-,Average,HS Junior,25,30,25,25,25,25,30,25,30,25,25,25,30,25,25,25,25,25,55,50,50,55,50,50,75,55,Normal,Pull,Normal,20,20,20,35,20,20,20,20,35,20,20,20,20,35,20,20,35,30,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,87-89,87-89,3/4,Normal,20,20,45,45,35,30,35,60,25,30,40,55,-,25,-,-,-,-,-,-,-,50,35,45,-,25,-,30,-,30,55,35,25,30,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Jul. 6th   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Average,Very Low
74258,SP,Omar Addison,-,-,-,-,03/07/2026,16,6' 1',175 lbs,L,L,Unkn.,Unkn.,20,55,N,N,N,H,N,N,Unknown,Fragile,-,-,-,All Hallows,-,Average,HS Junior,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,30,35,25,40,30,40,20,Normal,Normal,Normal,30,25,20,50,20,35,30,20,50,20,30,25,20,45,20,80,45,30,50,45,40,80,20,80,-,-,-,35,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,FB,92-94,96-98,3/4,Normal,50,70,25,25,30,30,35,50,20,40,45,45,50,-,-,-,-,-,-,-,-,50,-,35,-,-,-,40,-,35,25,20,20,20,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 3rd   2042,Average,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
73266,SP,Bert Alba,-,-,-,-,01/12/2026,16,6' 3',180 lbs,R,R,Unkn.,Unkn.,25,70,N,N,N,N,N,N,Unknown,Normal,-,-,-,Centennial,-,Average,HS Junior,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40,30,25,30,35,20,40,25,Normal,Normal,Normal,25,30,30,40,25,25,30,30,40,25,30,30,30,45,25,50,55,65,45,65,35,55,20,55,-,30,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,NEU,89-91,93-95,3/4,Normal,65,45,20,20,20,30,25,45,20,45,40,50,40,-,-,-,-,-,-,-,-,40,-,35,-,-,-,45,-,40,25,30,25,30,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 6th   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Average,Very Low
73121,CF,Rob Albin,-,-,-,-,08/23/2025,17,6' 1',175 lbs,R,R,Unkn.,Unkn.,20,45,N,N,N,N,N,L,Unknown,Durable,-,-,-,Randolph,-,Average,HS Junior,30,25,25,30,25,30,25,30,25,30,25,30,25,30,25,30,25,30,50,60,50,45,40,75,50,20,Normal,Normal,Spray,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,20,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,85-87,85-87,3/4,Normal,20,20,25,30,25,25,25,30,25,45,50,35,-,-,-,-,-,-,20,25,-,35,-,30,-,-,-,45,25,35,45,25,20,20,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Jul. 29th   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Very Weak,Very Low
73091,CF,Pete Allen,-,-,-,-,10/22/2025,16,6' 0',170 lbs,R,R,Unkn.,Unkn.,20,80,N,N,N,L,H,H,Unknown,Normal,-,-,-,Bloomfield Tech High School,-,Average,HS Junior,30,25,35,30,25,30,30,30,35,30,25,35,25,30,35,30,25,30,65,75,80,50,55,80,50,20,Line Drive,Spray,Normal,20,20,20,25,20,20,20,20,25,20,20,20,20,25,20,20,35,30,25,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,3/4,Normal,20,20,20,20,20,35,35,55,30,55,50,60,-,-,-,-,-,-,25,30,20,65,-,50,25,30,-,65,45,60,60,40,40,50,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 9th   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Very Weak,Very Low
74178,1B,Isaiah Alston,-,-,-,-,06/09/2022,20,6' 8',250 lbs,L,L,Unkn.,Unkn.,35,75,N,H,L,N,L,L,Unknown,Normal,-,-,-,Vanderbilt University,-,Great,CO Sophomore,45,45,40,40,45,45,40,40,40,35,40,40,45,45,40,40,45,45,65,70,55,65,55,60,30,20,Normal,Normal,Normal,20,25,20,20,30,20,25,20,20,30,20,25,20,20,30,20,30,30,20,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,85-87,85-87,3/4,GB'er,20,20,20,20,20,25,40,35,25,45,40,40,-,-,40,-,-,-,-,-,-,50,-,45,-,-,-,45,25,40,30,25,25,30,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Jul. 22nd   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
74127,3B,Nestor Alvarez,-,-,-,-,02/27/2026,16,5' 10',165 lbs,R,R,Unkn.,Unkn.,20,70,H,N,N,N,N,H,Unknown,Normal,-,-,-,Sumner-Fredericksburg,-,Average,HS Junior,30,25,30,25,25,30,25,25,30,25,25,30,25,30,30,25,25,30,60,65,80,60,50,70,65,60,Normal,Pull,Spray,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,20,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,84-86,84-86,SIDE,GB'er,20,20,25,25,25,50,45,65,35,55,50,60,-,-,-,-,30,20,-,-,-,75,-,55,40,45,35,60,35,55,55,45,35,40,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 13th   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
74324,RP,Jorge Anzolene,-,-,-,-,06/10/2022,20,6' 0',175 lbs,R,R,Unkn.,Unkn.,35,55,L,N,H,L,H,L,Unknown,Normal,-,-,-,K-State University,-,Great,CO Sophomore,20,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,20,30,30,30,30,35,30,45,25,Normal,Normal,Spray,55,40,20,50,40,55,40,20,50,35,55,40,20,50,40,80,50,25,50,50,65,80,55,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,FB,93-95,98-100,3/4,Normal,50,60,20,20,20,30,30,35,25,50,45,45,45,-,-,-,-,-,-,-,-,45,-,35,-,-,-,50,25,40,20,20,20,25,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 24th   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Weak,Very Low
73324,SP,Israyber Apgar,-,-,-,-,11/16/2025,16,6' 1',180 lbs,R,R,Unkn.,Unkn.,25,55,N,N,N,N,N,N,Unknown,Normal,-,-,-,Nazareth,-,Average,HS Junior,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,30,35,30,30,30,60,20,Normal,Spray,Normal,30,30,25,40,25,30,30,25,40,25,30,30,25,45,25,45,50,55,45,55,35,50,20,50,40,30,50,30,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,NEU,88-90,91-93,3/4,Normal,60,65,20,20,20,25,20,50,20,55,40,50,30,-,-,-,-,-,-,-,-,30,-,25,-,-,-,55,35,50,25,25,25,20,Free agent,0,-,0,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,Easy,No,-,No,No,Aug. 11th   2042,High,Medium,Amateur,None,,Major League Baseball,-,0,0,0,0,0,-,Very Weak,Very Low
